search_term,count
"( Abnormality of the orbital region[tiab] OR  Abnormality of the region around the eyes[tiab] OR  Abnormality of the eye region[tiab] OR  Deformity of the orbital region of the face[tiab] OR  Anomaly of the orbital region of the face[tiab] OR  Malformation of the orbital region of the face[tiab]) AND ( variat*[tiab] or SNP[tiab] or allele*[tiab] or mutat*[tiab] or polymorphism*[tiab] or haplotype*[tiab] or SNPs[tiab] or genotype[tiab] or gene[tiab] or chromosome[tiab] or deletion[tiab] or indel[tiab] or insertion[tiab] or substitution[tiab] or transition[tiab] or transversion[tiab] or translocation[tiab] or CNV[tiab] or copy number variation[tiab] or SV[tiab] or chromosome structure variation[tiab]) NOT review[pt] AND English[LA] AND (""1980/01/01""[DP] : ""2023/4/1""[DP])",6
"( Abnormality of the nose[tiab]) AND ( variat*[tiab] or SNP[tiab] or allele*[tiab] or mutat*[tiab] or polymorphism*[tiab] or haplotype*[tiab] or SNPs[tiab] or genotype[tiab] or gene[tiab] or chromosome[tiab] or deletion[tiab] or indel[tiab] or insertion[tiab] or substitution[tiab] or transition[tiab] or transversion[tiab] or translocation[tiab] or CNV[tiab] or copy number variation[tiab] or SV[tiab] or chromosome structure variation[tiab]) NOT review[pt] AND English[LA] AND (""1980/01/01""[DP] : ""2023/4/1""[DP])",0
"( Abnormality of facial soft tissue[tiab] OR  Malformation of facial soft tissue[tiab] OR  Abnormality of facial soft tissue[tiab] OR  Deformity of facial soft tissue[tiab] OR  Anomaly of facial soft tissue[tiab]) AND ( variat*[tiab] or SNP[tiab] or allele*[tiab] or mutat*[tiab] or polymorphism*[tiab] or haplotype*[tiab] or SNPs[tiab] or genotype[tiab] or gene[tiab] or chromosome[tiab] or deletion[tiab] or indel[tiab] or insertion[tiab] or substitution[tiab] or transition[tiab] or transversion[tiab] or translocation[tiab] or CNV[tiab] or copy number variation[tiab] or SV[tiab] or chromosome structure variation[tiab]) NOT review[pt] AND English[LA] AND (""1980/01/01""[DP] : ""2023/4/1""[DP])",13
"( Abnormality of the forehead[tiab]) AND ( variat*[tiab] or SNP[tiab] or allele*[tiab] or mutat*[tiab] or polymorphism*[tiab] or haplotype*[tiab] or SNPs[tiab] or genotype[tiab] or gene[tiab] or chromosome[tiab] or deletion[tiab] or indel[tiab] or insertion[tiab] or substitution[tiab] or transition[tiab] or transversion[tiab] or translocation[tiab] or CNV[tiab] or copy number variation[tiab] or SV[tiab] or chromosome structure variation[tiab]) NOT review[pt] AND English[LA] AND (""1980/01/01""[DP] : ""2023/4/1""[DP])",0
"( Abnormal facial shape[tiab] OR  Malformation of face[tiab] OR  Abnormal morphology of the face[tiab] OR  Distortion of face[tiab] OR  Unusual facies[tiab] OR  Funny looking face[tiab] OR  Deformity of face[tiab] OR  Dysmorphic facies[tiab] OR  Dysmorphic facial features[tiab] OR  Distinctive facies[tiab] OR  Facial dysmorphism[tiab] OR  Unusual facial appearance[tiab]) AND ( variat*[tiab] or SNP[tiab] or allele*[tiab] or mutat*[tiab] or polymorphism*[tiab] or haplotype*[tiab] or SNPs[tiab] or genotype[tiab] or gene[tiab] or chromosome[tiab] or deletion[tiab] or indel[tiab] or insertion[tiab] or substitution[tiab] or transition[tiab] or transversion[tiab] or translocation[tiab] or CNV[tiab] or copy number variation[tiab] or SV[tiab] or chromosome structure variation[tiab]) NOT review[pt] AND English[LA] AND (""1980/01/01""[DP] : ""2023/4/1""[DP])",2207
"( Abnormality of the midface[tiab] OR  Deformity of the midface[tiab] OR  Anomaly of the midface[tiab] OR  Abnormality of the midface[tiab] OR  Malformation of the midface[tiab]) AND ( variat*[tiab] or SNP[tiab] or allele*[tiab] or mutat*[tiab] or polymorphism*[tiab] or haplotype*[tiab] or SNPs[tiab] or genotype[tiab] or gene[tiab] or chromosome[tiab] or deletion[tiab] or indel[tiab] or insertion[tiab] or substitution[tiab] or transition[tiab] or transversion[tiab] or translocation[tiab] or CNV[tiab] or copy number variation[tiab] or SV[tiab] or chromosome structure variation[tiab]) NOT review[pt] AND English[LA] AND (""1980/01/01""[DP] : ""2023/4/1""[DP])",0
"( Facial cleft[tiab] OR  Facial clefts[tiab] OR  Tessier facial cleft[tiab] OR  Facial cleft[tiab] OR  Cleft of the face[tiab]) AND ( variat*[tiab] or SNP[tiab] or allele*[tiab] or mutat*[tiab] or polymorphism*[tiab] or haplotype*[tiab] or SNPs[tiab] or genotype[tiab] or gene[tiab] or chromosome[tiab] or deletion[tiab] or indel[tiab] or insertion[tiab] or substitution[tiab] or transition[tiab] or transversion[tiab] or translocation[tiab] or CNV[tiab] or copy number variation[tiab] or SV[tiab] or chromosome structure variation[tiab]) NOT review[pt] AND English[LA] AND (""1980/01/01""[DP] : ""2023/4/1""[DP])",108
"( Abnormality of the periorbital region[tiab] OR  Anomaly of the periorbital region[tiab] OR  Abnormality of the region around the eye[tiab] OR  Malformation of the periorbital region[tiab] OR  Abnormality of the region around the eye socket[tiab] OR  Deformity of the periorbital region[tiab]) AND ( variat*[tiab] or SNP[tiab] or allele*[tiab] or mutat*[tiab] or polymorphism*[tiab] or haplotype*[tiab] or SNPs[tiab] or genotype[tiab] or gene[tiab] or chromosome[tiab] or deletion[tiab] or indel[tiab] or insertion[tiab] or substitution[tiab] or transition[tiab] or transversion[tiab] or translocation[tiab] or CNV[tiab] or copy number variation[tiab] or SV[tiab] or chromosome structure variation[tiab]) NOT review[pt] AND English[LA] AND (""1980/01/01""[DP] : ""2023/4/1""[DP])",6
"( Abnormality of the chin[tiab] OR  Anomaly of the chin[tiab] OR  Abnormality of the menton[tiab] OR  Deformity of the chin[tiab] OR  Malformation of the chin[tiab] OR  Abnormality of the chin[tiab]) AND ( variat*[tiab] or SNP[tiab] or allele*[tiab] or mutat*[tiab] or polymorphism*[tiab] or haplotype*[tiab] or SNPs[tiab] or genotype[tiab] or gene[tiab] or chromosome[tiab] or deletion[tiab] or indel[tiab] or insertion[tiab] or substitution[tiab] or transition[tiab] or transversion[tiab] or translocation[tiab] or CNV[tiab] or copy number variation[tiab] or SV[tiab] or chromosome structure variation[tiab]) NOT review[pt] AND English[LA] AND (""1980/01/01""[DP] : ""2023/4/1""[DP])",5
"( Abnormal facial expression[tiab] OR  Abnormal facial expression[tiab]) AND ( variat*[tiab] or SNP[tiab] or allele*[tiab] or mutat*[tiab] or polymorphism*[tiab] or haplotype*[tiab] or SNPs[tiab] or genotype[tiab] or gene[tiab] or chromosome[tiab] or deletion[tiab] or indel[tiab] or insertion[tiab] or substitution[tiab] or transition[tiab] or transversion[tiab] or translocation[tiab] or CNV[tiab] or copy number variation[tiab] or SV[tiab] or chromosome structure variation[tiab]) NOT review[pt] AND English[LA] AND (""1980/01/01""[DP] : ""2023/4/1""[DP])",6
